respondent_id,timestamp,question,response
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,1. I feel engaged and motivated by my daily work responsibilities.,3
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,2. I receive useful feedback that helps me grow professionally.,2
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,3. My workload is manageable and sustainable.,4
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,4. My contributions are recognized and appreciated.,2
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,5. What is one specific change that would most improve your engagement or satisfaction?,More bonuses.
resp_df9bcdbd,2026-03-18T19:41:22.053601+00:00,6. Any additional comments or suggestions?,I'd like more meetings.
resp_79e69556,2026-03-18T20:02:32.439779+00:00,1. I feel engaged and motivated by my daily work responsibilities.,4
resp_79e69556,2026-03-18T20:02:32.439779+00:00,2. I receive useful feedback that helps me grow professionally.,5
resp_79e69556,2026-03-18T20:02:32.439779+00:00,3. My workload is manageable and sustainable.,5
resp_79e69556,2026-03-18T20:02:32.439779+00:00,4. My contributions are recognized and appreciated.,4
resp_79e69556,2026-03-18T20:02:32.439779+00:00,5. What is one specific change that would most improve your engagement or satisfaction?,More managerial support.
resp_79e69556,2026-03-18T20:02:32.439779+00:00,6. Any additional comments or suggestions?,N/A
